Start_X,Start_Y,End_X,End_Y
264.50,382.20,257.90,364.20
257.90,364.20,234.50,389.70
234.50,389.70,264.50,382.20
511.90,60.00,598.80,60.00
598.80,60.00,432.80,37.40
432.80,37.40,511.90,60.00
195.70,111.80,146.00,111.80
146.00,111.80,136.00,141.80
136.00,141.80,195.70,111.80
511.90,60.00,461.90,50.00
461.90,50.00,432.80,37.40
166.80,494.70,136.20,511.30
136.20,511.30,196.80,507.50
196.80,507.50,166.80,494.70
612.70,163.40,624.70,74.50
624.70,74.50,621.50,203.40
621.50,203.40,612.70,163.40
598.80,60.00,612.70,60.00
612.70,60.00,432.80,37.40
508.70,86.80,511.90,60.00
511.90,163.40,549.50,176.50
549.50,176.50,548.80,197.70
548.80,197.70,511.90,163.40
612.70,163.40,549.50,176.50
511.90,163.40,508.70,86.80
612.70,60.00,624.70,74.50
254.10,98.10,195.70,98.10
195.70,98.10,195.70,111.80
508.70,86.80,461.90,50.00
374.00,67.60,344.70,40.00
254.10,50.00,263.80,39.50
263.80,39.50,284.10,40.00
284.10,40.00,254.10,50.00
254.10,50.00,254.10,98.10
254.10,98.10,284.10,40.00
203.10,35.00,254.10,50.00
146.00,111.80,129.70,87.70
146.00,50.00,129.70,87.70
593.40,328.70,593.40,365.00
593.40,365.00,608.80,365.00
195.70,111.80,245.50,141.80
245.50,141.80,254.10,98.10
146.00,50.00,203.10,35.00
263.80,39.50,203.10,35.00
203.10,35.00,102.30,40.00
102.30,40.00,146.00,50.00
254.10,98.10,268.50,110.30
268.50,110.30,284.10,40.00
508.70,86.80,461.90,153.40
461.90,153.40,511.90,163.40
268.50,110.30,245.50,141.80
410.50,309.10,410.50,382.20
371.90,298.70,410.50,309.10
425.20,203.40,511.90,163.40
410.50,382.20,430.50,376.30
430.50,376.30,410.50,309.10
264.50,309.10,321.70,307.30
321.70,307.30,284.10,289.10
284.10,289.10,264.50,309.10
337.20,402.20,264.50,382.20
264.50,309.10,257.90,364.20
264.50,382.20,297.20,409.50
297.20,409.50,337.20,402.20
461.90,50.00,461.90,153.40
321.70,307.30,371.90,298.70
166.80,446.90,173.80,446.80
173.80,446.80,196.80,419.70
196.80,419.70,166.80,446.90
166.80,446.90,166.80,494.70
166.80,494.70,111.80,494.70
111.80,508.60,136.20,511.30
136.20,511.30,58.80,517.70
58.80,517.70,111.80,508.60
166.80,446.90,174.00,389.70
174.00,389.70,196.80,419.70
111.80,494.70,111.80,508.60
134.00,406.90,166.80,446.90
50.00,508.60,50.00,446.90
166.80,494.70,182.40,451.70
182.40,451.70,166.80,446.90
497.20,308.70,497.20,364.30
497.20,364.30,479.20,364.30
111.80,494.70,136.20,511.30
50.00,508.60,58.80,517.70
337.20,402.20,410.50,382.20
50.00,446.90,36.30,336.20
36.30,336.20,50.00,508.60
50.00,446.90,134.00,406.90
174.00,260.40,219.40,260.40
219.40,260.40,219.40,260.50
219.40,260.50,234.50,260.50
234.50,260.50,264.50,309.10
174.00,389.70,134.00,406.90
102.30,40.00,106.00,43.50
106.00,43.50,146.00,50.00
170.50,301.70,174.00,260.40
234.50,389.70,174.00,389.70
174.00,389.70,166.80,383.60
219.40,260.40,174.20,249.30
174.20,249.30,174.00,260.40
245.50,141.80,245.50,167.30
166.80,383.60,170.50,301.70
170.50,301.70,134.00,280.20
134.00,280.20,174.00,260.40
166.80,383.60,134.00,406.90
284.10,289.10,284.10,245.70
284.10,245.70,308.70,236.50
245.50,167.30,255.20,156.30
255.20,156.30,245.50,141.80
461.90,153.40,425.20,203.40
174.20,249.30,218.10,242.90
218.10,242.90,219.40,260.40
203.10,35.00,284.10,40.00
234.50,260.50,218.10,242.90
245.50,167.30,262.50,167.30
262.50,167.30,277.10,199.60
174.20,249.30,136.00,230.40
136.00,230.40,174.00,260.40
136.00,141.80,136.00,230.40
245.50,141.80,270.80,143.30
270.80,143.30,268.50,110.30
262.50,167.30,255.20,156.30
262.50,167.30,270.80,143.30
270.80,143.30,255.20,156.30
234.50,260.50,262.50,230.40
262.50,230.40,218.10,242.90
136.00,230.40,134.00,280.20
170.50,301.70,139.70,334.70
139.70,334.70,166.80,383.60
134.00,280.20,112.80,274.90
112.80,274.90,118.10,280.00
134.00,280.20,116.00,250.00
116.00,250.00,136.00,230.40
50.00,446.90,50.00,406.90
50.00,406.90,36.30,336.20
112.80,274.90,116.00,250.00
118.10,280.00,118.10,280.20
118.10,280.20,134.00,280.20
134.00,280.20,139.70,334.70
134.00,406.90,50.00,406.90
50.00,280.00,36.30,336.20
36.30,336.20,40.00,250.00
40.00,250.00,50.00,280.00
134.00,406.90,139.70,334.70
112.80,274.90,50.00,280.00
410.50,309.10,418.10,296.80
418.10,296.80,430.50,308.70
430.50,308.70,410.50,309.10
431.70,168.80,425.20,203.40
431.70,168.80,374.70,168.80
374.70,168.80,425.20,203.40
262.50,230.40,277.10,199.60
431.70,153.40,431.70,168.80
461.90,153.40,431.70,153.40
431.70,153.40,434.00,156.90
434.00,156.90,461.90,153.40
284.10,40.00,344.70,40.00
410.50,309.10,405.10,289.10
405.10,289.10,371.90,298.70
374.70,50.00,374.00,67.60
344.70,40.00,374.70,50.00
374.70,168.80,374.00,67.60
374.00,67.60,348.50,177.60
348.50,177.60,374.70,168.80
374.70,50.00,432.80,37.40
431.70,168.80,434.00,156.90
374.70,168.80,382.50,232.30
382.50,232.30,425.20,203.40
270.80,143.30,278.10,172.80
278.10,172.80,262.50,167.30
405.20,245.70,405.20,275.00
405.20,275.00,405.10,275.00
405.20,275.00,425.20,288.70
425.20,288.70,405.20,245.70
382.50,232.30,405.20,245.70
418.10,296.80,405.10,289.10
405.10,289.10,425.20,288.70
405.10,275.00,405.10,289.10
234.50,260.50,284.10,289.10
262.50,230.40,284.10,245.70
284.10,245.70,284.10,225.70
284.10,225.70,262.50,230.40
284.10,245.70,234.50,260.50
308.70,236.50,284.10,225.70
308.70,236.50,344.70,225.70
116.00,250.00,50.00,280.00
146.00,111.80,116.00,113.60
116.00,113.60,129.70,87.70
106.00,43.50,129.70,87.70
136.00,141.80,116.00,113.60
102.30,113.60,116.00,113.60
116.00,250.00,40.00,250.00
40.00,40.00,102.30,40.00
102.30,113.60,106.00,43.50
129.70,87.70,102.30,113.60
36.70,38.60,40.00,40.00
40.00,250.00,36.70,38.60
317.20,419.70,297.20,409.50
337.20,402.20,317.20,419.70
317.20,419.70,317.20,507.50
317.20,507.50,337.20,506.00
337.20,506.00,317.20,419.70
173.80,446.80,182.40,451.70
196.80,419.70,234.50,389.70
196.80,507.50,182.40,451.70
234.50,389.70,297.20,409.50
196.80,419.70,297.20,409.50
265.40,519.20,317.20,507.50
196.80,419.70,182.40,451.70
196.80,507.50,265.40,519.20
425.20,288.70,418.10,296.80
382.50,232.30,411.50,231.10
411.50,231.10,405.20,245.70
497.20,308.70,430.50,308.70
430.50,308.70,425.20,288.70
425.20,288.70,497.20,308.70
265.40,519.20,337.20,506.00
479.20,364.30,482.20,375.30
482.20,375.30,497.20,364.30
497.20,364.30,539.90,328.70
539.90,328.70,497.20,308.70
479.20,364.30,479.20,376.30
479.20,376.30,446.60,376.40
430.50,376.30,446.60,376.40
446.60,376.40,410.50,382.20
430.50,376.30,430.50,308.70
479.20,376.30,482.20,375.30
446.60,376.40,499.90,402.20
499.90,402.20,479.20,376.30
482.20,375.30,499.90,402.20
497.20,364.30,511.30,368.10
511.30,368.10,499.90,402.20
499.90,402.20,497.20,364.30
539.90,328.70,518.20,288.70
518.20,288.70,497.20,308.70
511.30,368.10,539.90,328.70
337.20,506.00,337.20,402.20
499.90,506.00,505.00,469.70
485.80,506.90,499.90,506.00
337.20,506.00,485.80,506.90
499.90,402.20,502.70,439.70
502.70,439.70,505.00,469.70
548.80,197.70,612.70,163.40
499.90,402.20,525.30,386.80
525.30,386.80,511.30,368.10
502.70,439.70,525.30,386.80
539.90,328.70,525.30,386.80
593.40,328.70,583.80,322.40
583.80,322.40,611.50,293.70
611.50,293.70,593.40,328.70
502.70,439.70,539.90,474.90
539.90,474.90,505.00,469.70
539.90,474.90,525.30,386.80
539.90,474.90,499.90,506.00
499.90,506.00,608.80,474.90
608.80,474.90,539.90,474.90
583.80,322.40,539.90,328.70
608.80,365.00,617.40,458.30
617.40,458.30,608.80,474.90
344.70,40.00,203.10,35.00
432.80,37.40,344.70,40.00
382.50,232.30,344.70,225.70
382.50,232.30,348.50,177.60
344.70,225.70,348.50,177.60
277.10,199.60,278.10,172.80
284.10,225.70,277.10,199.60
621.50,203.40,548.80,197.70
608.80,365.00,611.50,293.70
518.20,275.50,518.20,288.70
608.80,365.00,621.50,275.50
621.50,275.50,611.50,293.70
583.80,322.40,518.20,288.70
583.80,322.40,518.20,275.50
425.20,203.40,411.50,231.10
425.20,288.70,411.50,231.10
621.50,275.50,518.20,275.50
518.20,275.50,611.50,293.70
621.50,203.40,621.50,275.50
